Candidate,Plurality Result,STV Result,Difference
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
Andy Moore,False,False,False
Marlon Lee,True,True,False
,,,
